company,sector,ticker,market_cap,enterprise_value,revenue_ttm,ebitda,ev_revenue,ev_ebitda,pe_ratio,gross_margins,revenue_growth,profit_margins,return_on_equity,debt_to_equity
Siemens,Industrials,SIE.DE,216695390208,272871718912,79699001344,11843999744.0,3.424,23.039,29.409939,0.38845003,-0.0,0.09688,0.12593001,76.352
Airbus,Industrials,AIR.DE,162287075328,161169080320,72529002496,7654000128.0,2.222,21.057,32.56714,0.15366,-0.066,0.06913,0.19748,55.655
Infineon,Industrials,IFX.DE,100555276288,106696286208,15123000320,4016999936.0,7.055,26.561,94.36585,0.41162,,0.072340004,0.0631,47.645
BASF,Chemicals,BAS.DE,42253058048,63647260672,59167997952,5782000128.0,1.076,11.008,27.941519,0.23423,-0.03,0.02937,0.044109996,66.724
Bayer,Chemicals,BAYN.DE,52422148096,84765933568,45241999360,10158000128.0,1.874,8.345,,0.59918,-0.024,-0.04765,-0.06928,134.269
Merck,Chemicals,MRK.DE,63325396992,71526768640,20955600896,5674299904.0,3.413,12.605,24.982847,0.58931,-0.028,0.12083,0.085260004,40.372
Volkswagen,Automotive,VOW3.DE,37426704384,257782710272,320011993088,21851000832.0,0.806,11.797,6.1146603,0.14047,-0.025,0.0212,0.03105,137.093
BMW,Automotive,BMW.DE,36767686656,135243685888,130702000128,14666999808.0,1.035,9.221,5.4119754,0.13136,-0.081,0.05217,0.0709,112.684
Mercedes-Benz,Automotive,MBG.DE,43309617152,125465722880,130591997952,11079000064.0,0.961,11.325,8.888016,0.15545,-0.049,0.03738,0.05282,104.519
Deutsche Bank,Financials,DBK.DE,60895997952,-41536708608,29824999424,,-1.393,,10.072784,0.0,0.012,0.22652,0.08653,
Allianz,Financials,ALV.DE,159224365056,135330373632,115495002112,19718750208.0,1.172,6.863,13.568196,0.24341999,0.088,0.10426,0.18706,
Munich Re,Financials,MUV2.DE,63520280576,65320296448,61352001536,,1.065,,9.505936,0.36108002,-0.06,0.10974,0.19848,21.718
SAP,Technology,SAP.DE,163037937664,160723320832,37341999104,11603999744.0,4.304,13.851,22.378206,0.73719,0.06,0.19584,0.16350001,17.331
Deutsche Telekom,Technology,DTE.DE,121627885568,290248196096,121945997312,41964998656.0,2.38,6.916,13.889503,0.44491002,0.004,0.07222,0.14428,161.874
Adidas,Consumer,ADS.DE,32862756864,37935034368,25250000896,2469499904.0,1.502,15.361,23.97154,0.51362,0.071,0.055209998,0.22917,93.747
Henkel,Consumer,HEN3.DE,30501844992,31302334464,20494999552,3236000000.0,1.527,9.673,15.313007,0.50847,-0.063,0.09929,0.09707,18.017
Beiersdorf,Consumer,BEI.DE,16721437696,14378437632,9852000256,1607000064.0,1.459,8.947,18.004705,0.57714003,-0.002,0.09531,0.11161,2.518
Fresenius,Healthcare,FRE.DE,23898157056,34426159104,22986000384,3033400064.0,1.498,11.349,15.832089,0.25294,0.02,0.06395,0.07786,58.172
Sartorius,Healthcare,SRT3.DE,15647248384,20538449920,3554200064,905500032.0,5.779,22.682,96.01695,0.45588002,0.018,0.04575,0.06177,110.543
Deutsche Post,Logistics,DHL.DE,62677622784,84184973312,83043999744,7825999872.0,1.014,10.757,18.122978,0.17523001,-0.019,0.04247,0.15564999,121.823
